"id","pid","phrase","event","data","itype","ts","extype","effect","tsunix"
"1","id485d6e97579b2","Travis is in charge.","KP","T","insertText","2024-07-05 14:14:02.619","4","0","1720178042.619"
"2","id485d6e97579b2","Travis is in charge.","KP",,"deleteContentBackward","2024-07-05 14:14:08.379","4","0","1720178048.379"
"3","id485d6e97579b2","Travis is in charge.","KP","T","insertText","2024-07-05 14:14:10.651","4","0","1720178050.651"
"4","id485d6e97579b2","Travis is in charge.","KP","r","insertText","2024-07-05 14:14:11.642","4","0","1720178051.642"
"5","id485d6e97579b2","Travis is in charge.","KP","i","insertText","2024-07-05 14:14:11.787","4","0","1720178051.787"
"6","id485d6e97579b2","Travis is in charge.","KP","v","insertText","2024-07-05 14:14:11.914","4","0","1720178051.914"
"7","id485d6e97579b2","Travis is in charge.","KP","i","insertText","2024-07-05 14:14:12.058","4","0","1720178052.058"
"8","id485d6e97579b2","Travis is in charge.","KP","s","insertText","2024-07-05 14:14:12.379","4","0","1720178052.379"
"9","id485d6e97579b2","Pressure to finish my review!","KP","P","insertText","2024-07-05 14:14:33.419","4","0","1720178073.419"
"10","id485d6e97579b2","Pressure to finish my review!","KP","r","insertText","2024-07-05 14:14:33.866","4","0","1720178073.866"
"11","id485d6e97579b2","Pressure to finish my review!","KP","e","insertText","2024-07-05 14:14:33.962","4","0","1720178073.962"
"12","id485d6e97579b2","Pressure to finish my review!","KP","s","insertText","2024-07-05 14:14:34.635","4","0","1720178074.635"
"13","id485d6e97579b2","Pressure to finish my review!","KP","s","insertText","2024-07-05 14:14:34.763","4","0","1720178074.763"
"14","id485d6e97579b2","Pressure to finish my review!","KP","u","insertText","2024-07-05 14:14:34.907","4","0","1720178074.907"
"15","id485d6e97579b2","Pressure to finish my review!","KP","r","insertText","2024-07-05 14:14:35.035","4","0","1720178075.035"
"16","id485d6e97579b2","Pressure to finish my review!","KP","e","insertText","2024-07-05 14:14:35.099","4","0","1720178075.099"
"17","id485d6e97579b2","Pressure to finish my review!","KP"," ","insertText","2024-07-05 14:14:35.307","4","0","1720178075.307"
"18","id485d6e97579b2","Pressure to finish my review!","KP","t","insertText","2024-07-05 14:14:35.435","4","0","1720178075.435"
"19","id485d6e97579b2","Pressure to finish my review!","KP","o","insertText","2024-07-05 14:14:35.579","4","0","1720178075.579"
"20","id485d6e97579b2","Pressure to finish my review!","KP"," ","insertText","2024-07-05 14:14:35.691","4","0","1720178075.691"
"21","id485d6e97579b2","Pressure to finish my review!","KP","f","insertText","2024-07-05 14:14:36.475","4","0","1720178076.475"
"22","id485d6e97579b2","Pressure to finish my review!","KP","i","insertText","2024-07-05 14:14:36.651","4","0","1720178076.651"
"23","id485d6e97579b2","Pressure to finish my review!","KP","n","insertText","2024-07-05 14:14:36.843","4","0","1720178076.843"
"24","id485d6e97579b2","Pressure to finish my review!","KP","i","insertText","2024-07-05 14:14:37.003","4","0","1720178077.003"
"25","id485d6e97579b2","Pressure to finish my review!","KP","s","insertText","2024-07-05 14:14:37.147","4","0","1720178077.147"
"26","id485d6e97579b2","Pressure to finish my review!","KP","h","insertText","2024-07-05 14:14:37.979","4","0","1720178077.979"
"27","id485d6e97579b2","Pressure to finish my review!","KP"," ","insertText","2024-07-05 14:14:38.075","4","0","1720178078.075"
"28","id485d6e97579b2","Pressure to finish my review!","KP","y","insertText","2024-07-05 14:14:39.035","4","0","1720178079.035"
"29","id485d6e97579b2","Pressure to finish my review!","KP","o","insertText","2024-07-05 14:14:39.147","4","0","1720178079.147"
"30","id485d6e97579b2","Pressure to finish my review!","KP","u","insertText","2024-07-05 14:14:39.435","4","0","1720178079.435"
"31","id485d6e97579b2","Pressure to finish my review!","KP","r","insertText","2024-07-05 14:14:39.595","4","0","1720178079.595"
"32","id485d6e97579b2","Pressure to finish my review!","KP"," ","insertText","2024-07-05 14:14:39.787","4","0","1720178079.787"
"33","id485d6e97579b2","Pressure to finish my review!","KP","r","insertText","2024-07-05 14:14:40.619","4","0","1720178080.619"
"34","id485d6e97579b2","Pressure to finish my review!","KP","e","insertText","2024-07-05 14:14:40.763","4","0","1720178080.763"
"35","id485d6e97579b2","Pressure to finish my review!","KP","v","insertText","2024-07-05 14:14:41.163","4","0","1720178081.163"
"36","id485d6e97579b2","Pressure to finish my review!","KP","i","insertText","2024-07-05 14:14:41.675","4","0","1720178081.675"
"37","id485d6e97579b2","Pressure to finish my review!","KP","e","insertText","2024-07-05 14:14:42.059","4","0","1720178082.059"
"38","id485d6e97579b2","Pressure to finish my review!","KP","w","insertText","2024-07-05 14:14:42.139","4","0","1720178082.139"
"39","id485d6e97579b2","What do you think about Tracy and Jim?","KP","W","insertText","2024-07-05 14:15:11.291","4","0","1720178111.291"
"40","id485d6e97579b2","What do you think about Tracy and Jim?","KP","h","insertText","2024-07-05 14:15:11.915","4","0","1720178111.915"
"41","id485d6e97579b2","What do you think about Tracy and Jim?","KP","a","insertText","2024-07-05 14:15:12.027","4","0","1720178112.027"
"42","id485d6e97579b2","What do you think about Tracy and Jim?","KP","t","insertText","2024-07-05 14:15:12.171","4","0","1720178112.171"
"43","id485d6e97579b2","What do you think about Tracy and Jim?","KP"," ","insertText","2024-07-05 14:15:12.363","4","0","1720178112.363"
"44","id485d6e97579b2","What do you think about Tracy and Jim?","KP","f","insertText","2024-07-05 14:15:12.907","4","0","1720178112.907"
"45","id485d6e97579b2","What do you think about Tracy and Jim?","KP",,"deleteContentBackward","2024-07-05 14:15:13.147","4","0","1720178113.147"
"46","id485d6e97579b2","What do you think about Tracy and Jim?","KP","d","insertText","2024-07-05 14:15:13.259","4","0","1720178113.259"
"47","id485d6e97579b2","What do you think about Tracy and Jim?","KP","o","insertText","2024-07-05 14:15:13.387","4","0","1720178113.387"
"48","id485d6e97579b2","What do you think about Tracy and Jim?","KP"," ","insertText","2024-07-05 14:15:13.467","4","0","1720178113.467"
"49","id485d6e97579b2","What do you think about Tracy and Jim?","KP","y","insertText","2024-07-05 14:15:14.123","4","0","1720178114.123"
"50","id485d6e97579b2","What do you think about Tracy and Jim?","KP","o","insertText","2024-07-05 14:15:14.219","4","0","1720178114.219"
"51","id485d6e97579b2","What do you think about Tracy and Jim?","KP","u","insertText","2024-07-05 14:15:14.363","4","0","1720178114.363"
"52","id485d6e97579b2","What do you think about Tracy and Jim?","KP"," ","insertText","2024-07-05 14:15:14.475","4","0","1720178114.475"
"53","id485d6e97579b2","What do you think about Tracy and Jim?","KP","t","insertText","2024-07-05 14:15:15.051","4","0","1720178115.051"
"54","id485d6e97579b2","What do you think about Tracy and Jim?","KP","h","insertText","2024-07-05 14:15:15.147","4","0","1720178115.147"
"55","id485d6e97579b2","What do you think about Tracy and Jim?","KP","i","insertText","2024-07-05 14:15:15.451","4","0","1720178115.451"
"56","id485d6e97579b2","What do you think about Tracy and Jim?","KP","n","insertText","2024-07-05 14:15:15.483","4","0","1720178115.483"
