ID,Prompt A,Prompt B,original enron response,Florian,Ioulia,Anna,Annas preference
315,When can you give me some feedback on my article?,I hope you had time to read my report.,I will take a look at this today.,A,A,,
192,"Sorry I missed your call, how can I help?","Hey, just to let you know, my team made good progress on our project yesterday.",We need to talk about this month.,B,A,A,Strong
78,I chose B as the response to the last exam question,We should tell them that it's too late to consider new updates to the app.,I think that is the right answer.,A,A,,
16,"Just to let you know, Mark is also coming to the meeting.",There is a workshop that seems to discuss some topics related to the idea we had last week.,I would like to attend if so.,B,B,,
307,When is Jane coming? I heard she'll be here between April 20 - 25th.,I believe the opening days were 14 and 15 of May. Do you remember?,I think those are the right dates.,A,B,B,no preference
134,"I'll be in Austin next weekend, do you want to do something together?","After 2 years, I'm coming back to town. I hope to see you around!",We can have wine and catch up.,B,A,A,slight
205,"I just had a small yoghurt for lunch, I'm starving!",I just ordered a salad for our lunch tomorrow.,Are you on the diet with me?,B,B,,
249,John Marshall is the person responsible for product returns.,John wants to know ASAP if you will come to the meeting today.,Do you have a number for him?,A,A,,
165,Are you still on holidays?,"Our holidays are officially over, we should meet and catch up!",We are on a plane coming back.,A,A,,
163,"Do I send this message to just yourself, or should I also copy Michelle in?",I got the invoice that Rachel and you requested. Should I send it to you?,Please send it to both of us.,B,A,A,no preference
145,My team should fill you in shortly.,My team would like to know more about that idea you mentioned yesterday.,In a meeting with your guys now.,B,B,,
171,"I will reply to your email by Friday, hopefully.",Let's meet at 9am if I manage to buy that thing.,If not can I call you?,B,A,A,slight
251,We should arrange a time first thing tomorrow.,I need urgently your feedback for tomorrow's meeting.,I'll call you in the morning.,A,A,,
180,"Hey, is anyone still at the office?",Just arrived! Are you still with Jill at the conference?,Both of us are still here.,B,B,,
304,I am not going to talk to her for 3 days.,"Good morning, we need you to approve a 20k purchase order we just received.",What is the purpose of this?,A,B,B,slight
292,I'm really looking forward to reading your new book!,"Please send me the invoice of today's lunch, otherwise we can't claim a reimbursement!",We will get you a copy.,B,A,A,slight because shorter
34,"So, is Jane coming after all?",Do you know if she plans to come? Her email was a bit unclear to me.,It reads like she is in.,B,B,,
259,I wonder who could tell us more about what happened at that party.,We need to provide more information about the event on our website.,Jan has a lot of detail.,B,A,B,slight because of professional context
302,"Mike, such a long time, it's good to hear from you!","Oh boy, I'm still fixing those computers that got hacked.",Hope your week is going well.,B,A,A,strong
185,We need to get that order sent straight away.,Could you please send me your biography for the flyers?,How soon do you need it?,B,B,,
191,"Have a great Easter week, Mary!",I went to the Greek islands. It's not Costa Rica but it was fun.,You have a nice holiday too.,A,A,,
84,I had a terrible flu last week.,I broke my ankle. I'm been told to stay at home for one month.,I hope you are feeling better.,A,A,,
128,What do you want me to help with?,Everything is ready to go. Let me know about the next steps.,Would you mind doing the following?,B,A,A,no  preference
59,I am going to miss you while you're away.,I'm about ot meet the investors. Wish me luck!,I will be thinking of you.,A,A,,
195,Did you try rebooting your computer?,Have you tried to unplug and plug it back?,I tried that to no avail.,A,B,A,no preference
54,Just got off from bus 5 but I can 't see you anywhere.,"Were are you? The meeting has started. Room A, seventh floor.",I thought you were on 6.,A,A,,
73,"I'm not that good with these, but perhaps I can help you with something else.",I've been told you couldn't finish it. The deadline is approaching!,Can you help with this one?,A,A,,
257,I really don't want to go to Clare's birthday party.,"I want to attend the conference, although I don't have anything to present this year.",Do you need to be there?,A,A,,
161,I just bought $50 worth of groceries.,We could only talk to one client so far. One more is scheduled on Friday.,Is that enough for this week?,A,A,,
113,We need more information before we can make a decision.,Can we get an update? The report looks incomplete.,I have some more data coming.,B,B,,
188,Are there any Chinese restaurants in the vicinity?,Do you know about other tools we can use? This one is outdated.,I am not aware of any.,B,B,,
175,I'm going to call you after 6pm.,We plan to have a meeting next week. Do you want to join?,I will likely not be available.,A,A,,
120,SuperCorp just got found guilty for bribery in the court.,Here you can find the latest version of our year report.,What is the stock price doing?,A,B,A,slight
236,Hahahaha I guess I'll be fine.,We need to talk. You shouldn't have said that. It's disgusting!,Are you in a good mood?,A,A,,
86,Should I bring some disposable cuttlery or plates?,I wonder if you can finish everything by tomorrow.,We have lots of paper stuff.,A,A,,
93,"Unfortunately, the whole team just got laid off.","We no longer have access to the database, unfortunately.",What will happen to this project?,A,A,,
75,"I'm going to ask for a $10k raise, but I think the boss will not give more than $3-4k.",I can take anything. Any suggestions?,Take what you can get.,A,A,,
243,What did you do with Sarah's present?,Rachel wants to see the document before we publish it.,I sent it to her.,B,B,,
66,Sorry but this was not included in the original plan.,We need to discuss about the marketing strategy.,What is in the plan?,A,A,,
36,When are you going away for holidays?,When will you come to visit us?,In a couple of weeks.,B,B,,
266,I don't really think it was the extra cheese that made it tasty.,I believe I managed to fix the bug!,If so what was it?,B,B,,
132,"James has been promoted to area manager, he's going to be our new boss.","Our manager told us to contact the provider, since the device is still under warranty.",This is good I think.,A,A,,
