"prompt","sample_set","avg_coherence","count_coherence","stdev_coherence"
"I've been thinking about old times and our shared memories.","mistral","2.4231","26","0.5665738408713936"
"I found an important email with attachments for our project.","mistral","2.3077","26","0.7216024245882201"
"Let's check our current project assignments.","mistral","1.6923","26","0.4615384615384616"
"I'm running late for our meeting, can you meet me at the usual spot?","llama","1.4828","29","0.49970264642032547"
"have you seen the forecast for tonight?","llama","1.9655","29","0.4900920828810998"
"Where are we meeting for the project discussion today?","llama","2.5517","29","0.4973174173053778"
"Did Ronaldo play well in the match?","llama","1.7857","28","0.7249208260780157"
"Have you seen the new movie trailer?","llama","1.2500","28","0.4330127018922193"
"Have you ever felt like you're stuck in neutral?","llama","1.5000","28","0.6267831705280087"
"are we prepared to list the US subsidiary?","llama","1.4074","27","0.49135182079339257"
"where are they studying for exams?","llama","1.2143","28","0.41032590332414487"
"I didn't get the job, why did I get rejected?","llama","1.4444","27","0.5665577237325315"
"can you review the sales report for last quarter?","llama","2.5357","28","0.49872285870603367"
"Are you worried about the impending economic crisis?","llama","1.4643","28","0.4987228587060336"
"did you talk to the manager about my project?","llama","1.8148","27","0.7219847662821457"
"can you send me my flight schedule?","llama","1.5357","28","0.4987228587060336"
"Are you free to meet on Thursday October 25?","llama","2.1071","28","0.40876868365212843"
"I just returned from an amazing beach holiday!","llama","1.0357","28","0.3253726278265821"
"The project deadline is nearing and we're still working on the final draft.","llama","2.1786","28","0.5380899704756915"
"Are you planning to invite any colleagues from the marketing department?","llama","1.2500","28","0.4330127018922193"
"did you get the invitation to John's birthday party?","llama","1.1071","28","0.40876868365212843"
"Are we on the right path?","llama","1.5714","28","0.6226998490772391"
"How was your weekend getaway?","llama","1.0357","28","0.18557687223952254"
"have we been meeting these deadlines consistently?","llama","1.1786","28","0.3829930462415574"
"Did you confirm the meeting with Mary Kay for tomorrow?","llama","1.5357","28","0.5658206970626735"
"have you ever tried to quit using BBM?","llama","1.4643","28","0.625764838140544"
"Have you ever seen Ken Caminiti at Animal Kingdom?","llama","2.1786","28","0.7584557350569751"
"can you send me the latest sales report?","llama","1.1429","28","0.34992710611188255"
"Did Natalie say she'd meet us at 7?","llama","1.2857","28","0.45175395145262554"
"We need to finalize our report before meeting with El Paso's team.","llama","2.1071","28","0.48838551182776224"
"Can we discuss the Smith report before you leave on Friday?","llama","2.0000","28","0.3779644730092273"
"can you send me the meeting agenda?","llama","1.2500","28","0.6338656910463875"
"How's your day going with the project deadline approaching?","llama","2.1071","28","0.4883855118277622"
"What's the current project status?","llama","1.9643","28","0.6257648381405441"
