"id","pid","extype","orig_phrase","sub_phrase","effect"
"721","id9b42b4c9072cd8","2","Target customers: Munis, Wapa, BPA.","Target customers: Munis, Wapa, BPA. ","1"
"722","id9b42b4c9072cd8","2","Thanks - that's what I was hoping it was.","Thanks - that's what i was hoping it was. ","1"
"723","id9b42b4c9072cd8","2","Can I meet with you at 4:00?","Can i meet with you at 4:00?","1"
"724","id9b42b4c9072cd8","2","That's not the behavior that I was looking for.","That's not the bahavior that i was looking for. ","1"
"725","id9b42b4c9072cd8","2","If this has already been covered, then I apologize.","If this has already been covered, then i apologize. ","1"
"726","id9b42b4c9072cd8","2","Here's the talking points for ANNGTC.","Here's the talking points for ANNGTC. ","1"
"727","id9b42b4c9072cd8","2","I have a doctor's appointment for 11:00 on Tuesday.","I have a doctor's appointment for 11:00 on Tuesday. ","1"
"728","id9b42b4c9072cd8","2","Yes still need it - when are you back?","Yes still need it - when are you back ? ","1"
"729","id9b42b4c9072cd8","2","Chase back office and their restart plan updates individually.","Chase back office and their restart plan updates individually","1"
"730","id9b42b4c9072cd8","2","Danny I recommended on Monday we cancel it.","Danny i recommended on Monday we cancel it. ","1"
"731","id9b42b4c9072cd8","2","Meeting with Alaska Governor Tony Knowles on November 30th.","Meeting with Alaska Governor Tony Knowles on November 30th. ","1"
"732","id9b42b4c9072cd8","2","Maybe Michael will go to Quil tomorrow.","Maybe Michael will go to Quil tomorrow. ","1"
"733","id9b42b4c9072cd8","2","9:00 AM every second Saturday with Michelle.","9:00 AM every second Saturday with Michelle","1"
"734","id9b42b4c9072cd8","2","If possible, I'd like to get Amy's opinion.","If possible, i'd like to get Amy's opinion. ","1"
"735","id9b42b4c9072cd8","2","We haven't sold the US business as yet.","We haven't sold the US business as yet. ","1"
"751","id9b42b4c9072cd8","6","That's not the behavior that I was looking for.","That's not the behavior that i was looking for. ","1"
"752","id9b42b4c9072cd8","6","She is taking over Global Finance Legal.","She is taking over Global Finance Legal. ","1"
"753","id9b42b4c9072cd8","6","Can we go to 150/150 with Foster?","Can we go to 150/150 with Foster? ","1"
"754","id9b42b4c9072cd8","6","Here's the talking points for ANNGTC.","Here's the talking points for ANNGTC. ","1"
"755","id9b42b4c9072cd8","6","Please send to Hartsoe for comment.","Please send to Hartsoe for comment. ","1"
"756","id9b42b4c9072cd8","6","Target customers: Munis, Wapa, BPA.","Target customers: Munis, Wapa, BPA. ","1"
"757","id9b42b4c9072cd8","6","Can I meet with you at 4:00?","Can i meet with you at 4:00?","1"
"758","id9b42b4c9072cd8","6","Who should I contact regarding severance?","Who should o contact regarding severance? ","1"
"759","id9b42b4c9072cd8","6","If possible, I'd like to get Amy's opinion.","If possible, i'd like to get Amy's opinion. ","1"
"760","id9b42b4c9072cd8","6","He is at 281 350 8441.","He is at 281 350 8441. ","1"
"761","id9b42b4c9072cd8","6","I saw your 5:30 AM message!","I saw your 5:30 AM message! ","1"
"762","id9b42b4c9072cd8","6","Shelley (making good use of my jury duty time)","Shelley (making good use for my jury duty time) ","1"
"763","id9b42b4c9072cd8","6","Chase back office and their restart plan updates individually.","Chase back office amd their restart plan updates individually. ","1"
"764","id9b42b4c9072cd8","6","Danny I recommended on Monday we cancel it.","Danny i recommended on Monday we cancel it. ","1"
"765","id9b42b4c9072cd8","6","If this has already been covered, then I apologize.","If this has already been covered, then i apologize. ","1"
"766","id4a821edcfa899","6","Here's the talking points for ANNGTC.","Here's the talking points for ATHHC","1"
"767","id4a821edcfa899","6","If possible, I'd like to get Amy's opinion.","If possible, I d like to get Amy's opinion about this","1"
"768","id4a821edcfa899","6","San Francisco was Interconnect meeting.","San Francisco was interconnect meeting. ","1"
"769","id4a821edcfa899","6","You didn't answer me about driving tomorrow.","You didn't answer me about driving tomorrow. ","1"
"770","id4a821edcfa899","6","She is taking over Global Finance Legal.","She is taking over Global Finance Legal","1"
"771","id4a821edcfa899","6","If this has already been covered, then I apologize.","If this has been already covered, then I appologize","1"
"772","id4a821edcfa899","6","Budget allocation from Glisan has been postponed.","Budget allocation from Grisan has been postponed","1"
"773","id4a821edcfa899","6","Here's my work email (kay.mann@enron.com).","Here's my work email (kay.mann@enroll.com)","1"
"774","id4a821edcfa899","6","Thanks - that's what I was hoping it was.","Thanks-that's what I was hoping it was. ","1"
"775","id4a821edcfa899","6","I'll see you Thursday October 25.","I'll see you Thursday October 25","1"
"776","id4a821edcfa899","6","I am unavailable for the 1PM meeting.","I am unavailable for the 1pm meeting ","1"
"777","id4a821edcfa899","6","I'm looking forward to the long weekend!","I'm looking forward for the long weekend ","1"
"778","id4a821edcfa899","6","I also just received my Blackberry, cool.","I also just received my Blackberry, it is awesome","1"
"779","id4a821edcfa899","6","The filing concerns various scheduling and balancing rules.","The filing concerns various ","1"
"780","id4a821edcfa899","6","Can I meet with you at 4:00?","Can I meet you at4:00?","1"
"781","id4a821edcfa899","3","I'm on my way back there to do so.","I'm on my way back to do so. ","1"
"782","id4a821edcfa899","3","This is the neatest toy I have had.","This is the neatest toy I have had. ","1"
"783","id4a821edcfa899","3","We just need a sitter.","We just need a sitter. ","1"
"784","id4a821edcfa899","3","I'm waiting until she comes home.","I'm waiting till she comes home","1"
"785","id4a821edcfa899","3","Are you in a good mood?","Are you in a good mood? ","1"
"786","id4a821edcfa899","3","Just in case we haven't invited any of them.","Just in case we hanent invited any of them. ","1"
"787","id4a821edcfa899","3","I changed that in one prior draft.","I change ","1"
"788","id4a821edcfa899","3","We just pulled schedules from the web.","We just pulled schedules from the web. ","1"
"789","id4a821edcfa899","3","I am looking forward to the salad.","I am looking forward to the salad. ","1"
"790","id4a821edcfa899","3","How can we get these answers?","How can we get these answers? ","1"
"791","id4a821edcfa899","3","He doesn't want to give the trading positions.","He doesn't want to give the trading positions. ","1"
"792","id4a821edcfa899","3","Maybe traffic will be light on Thursday.","Maybe traffic will be light on Thursday. ","1"
"793","id4a821edcfa899","3","Would you mind doing the following?","Would you mind doing the following? ","1"
"794","id4a821edcfa899","3","Remember blackberry doesn't work so well at home.","Remember Blackberry doesn't work so well at home. ","1"
"795","id4a821edcfa899","3","Yes I am here actually.","Yes I am here actually. ","1"
"796","id4a821edcfa899","1","What is in the plan?","What is in the plan? ","1"
"797","id4a821edcfa899","1","Hopefully this can wait until Monday.","Hopefully this can wait till Monday. ","1"
"798","id4a821edcfa899","1","If so what was it?","If so what was it? ","1"
"799","id4a821edcfa899","1","I hope you are feeling better.","I hope you are feeling better ","1"
"800","id4a821edcfa899","1","You can talk to Becky!","You can talk to Becky. ","1"
"801","id4a821edcfa899","1","I wanted to go drinking with you.","I wanted to go drinking with you. ","1"
"802","id4a821edcfa899","1","I have a high level in my office.","I have a high level in my office. ","1"
"803","id4a821edcfa899","1","Ava, do we need to worry about this?","Ava, do we need to worry about this? ","1"
"804","id4a821edcfa899","1","I'll call you in the morning.","I'll call you in the morning. ","1"
"805","id4a821edcfa899","1","I've never worked with her.","I've never worked with her. ","1"
"806","id4a821edcfa899","1","If we don't get it, could be trouble.","If we don't get it, could be trouble. ","1"
"807","id4a821edcfa899","1","Don't they have some conflicts here?","Don't they have some conflicts here? ","1"
"808","id4a821edcfa899","1","Should systems manage the migration?","Should systems manage the migration? ","1"
"809","id4a821edcfa899","1","I am not concerned with the Brown money.","I am not concerned with the brown money. ","1"
"810","id4a821edcfa899","1","Take what you can get.","Take what you can get. ","1"
"811","id4a821edcfa899","5","I think that is the right answer.","I think that is the correct answer. ","1"
"812","id4a821edcfa899","5","What is the cost issue?","What is the cost issue? ","1"
"813","id4a821edcfa899","5","Are you going to call?","Are you going to call? ","1"
"814","id4a821edcfa899","5","We will get you a copy.","We will get you a copy. ","1"
"815","id4a821edcfa899","5","This seems fine to me.","This seems fine to me. ","1"
"816","id4a821edcfa899","5","I am at the lake.","I am at the lake. ","1"
"817","id4a821edcfa899","5","Check and find out form?","Check and find out form? ","1"
"818","id4a821edcfa899","5","Thursday works better for me.","Thursday works better for me. ","1"
"819","id4a821edcfa899","5","I'll call you in the morning.","I'll call you in the morning. ","1"
"820","id4a821edcfa899","5","I am fine with this.","I am fine with this. ","1"
"821","id4a821edcfa899","5","John this message concerns me.","John this message concerns me. ","1"
"822","id4a821edcfa899","5","What is the purpose of this?","What is the purpose of this? ","1"
"823","id4a821edcfa899","5","Will you come get me?","Will you come get me? ","1"
"824","id4a821edcfa899","5","We just need a sitter.","We just need a sitter. ","1"
"825","id4a821edcfa899","5","Take what you can get.","Take what you can get. ","1"
"826","id4a821edcfa899","2","My home email is kay.mann@worldnet.att.net.","My home email is kay.mann@worldnet.att.com","1"
"827","id4a821edcfa899","2","Here's my work email (kay.mann@enron.com).","Here's my work email (kay.mann@enron.com)","1"
"828","id4a821edcfa899","2","The SoCal meeting was very beneficial.","The Socal meeting was very beneficial. ","1"
"829","id4a821edcfa899","2","I saw your 5:30 AM message!","I saw your 5:30 AM message! ","1"
"830","id4a821edcfa899","2","Shelley (making good use of my jury duty time)","Shelley (making good use of my jury duty time) ","1"
"831","id4a821edcfa899","2","Maybe Michael will go to Quil tomorrow.","Maybe Michael will go to ","1"
"832","id4a821edcfa899","2","9:00 AM every second Saturday with Michelle.","9:00 AM every second Saturday with Michael","1"
"833","id4a821edcfa899","2","Thanks - that's what I was hoping it was.","Thanks - that's what I was hoping for. ","1"
"834","id4a821edcfa899","2","I didn't think we had.","I didn't think we had. ","1"
"835","id4a821edcfa899","2","Can we go to 150/150 with Foster?","Can we go to 150/150 with Foster? ","1"
"836","id4a821edcfa899","2","1 - number of questions on this.","1 - number of questions on this. ","1"
"837","id4a821edcfa899","2","I'll give you my handwritten notes.","I ll give you my handwritten notes. ","1"
"838","id4a821edcfa899","2","Here's the talking points for ANNGTC.","Here's the talking points for ANNGTC","1"
"839","id4a821edcfa899","2","I do wish I knew.","I do wish I knew. ","1"
"840","id4a821edcfa899","2","That's not the behavior that I was looking for.","That's not the behavior I was looking for. ","1"
"841","id4a821edcfa899","4","Let me know where you might be.","Let me know where can you be. ","1"
"842","id4a821edcfa899","4","Target customers: Munis, Wapa, BPA.","Target consumers: Munis, Mapa, BPA. ","1"
"843","id4a821edcfa899","4","That's not the behavior that I was looking for.","That's not the behavior I was looking for. ","1"
"844","id4a821edcfa899","4","Producers reacting to price management.","Producers reacting to price management. ","1"
"845","id4a821edcfa899","4","I guess that's additive to my stretch?","I guess that's additive to my stretch? ","1"
"846","id4a821edcfa899","4","If so he probably will have to pay back.","If so he will probably have to pay back. ","1"
"847","id4a821edcfa899","4","We went to Palacios to fish.","We went to Palacios to fish. ","1"
"848","id4a821edcfa899","4","Any interest in chatting about a job at UBS?","Any interested in chatting about a job at UBS? ","1"
"849","id4a821edcfa899","4","Man I don't want to get sick again.","Man I don't want to get sick again. ","1"
"850","id4a821edcfa899","4","I'm looking forward to the long weekend!","I'm looking forward for the long weekend! ","1"
"851","id4a821edcfa899","4","How do you like the Blackberry?","How do you like the Blackberry? ","1"
"852","id4a821edcfa899","4","I didn't think we had.","I didn't think we had.","1"
"853","id4a821edcfa899","4","Will call when I leave.","Will call when I leave. ","1"
"854","id4a821edcfa899","4","Danny I recommended on Monday we cancel it.","Danny I recommended on Monday we cancel it. ","1"
"855","id4a821edcfa899","4","I also just received my Blackberry, cool.","I also just received my Blackberry, cool. ","1"
"1051","id9b42b4c9072cd8","1","We don't seem to have any positive income there.","We don't seem to have any positive income there. ","1"
"1052","id9b42b4c9072cd8","1","Could you try ringing her?","Could you try ringing her? ","1"
"1053","id9b42b4c9072cd8","1","Do you still need me to sign something?","Do you still need me to sign something? ","1"
"1054","id9b42b4c9072cd8","1","Thursday works better for me.","Thursday works better for me. ","1"
"1055","id9b42b4c9072cd8","1","Hopefully this can wait until Monday.","Hopefully this can wait until Monday. ","1"
"1056","id9b42b4c9072cd8","1","Is this the only time available?","Is this the only time available? ","1"
"1057","id9b42b4c9072cd8","1","I changed that in one prior draft.","I changed that in one prior draft. ","1"
"1058","id9b42b4c9072cd8","1","Have I mentioned how much I love Houston traffic?","Have i mentioned how much I love Houston traffic? ","1"
"1059","id9b42b4c9072cd8","1","Are you getting all the information you need?","Are tou getting all the information you need?","1"
"1060","id9b42b4c9072cd8","1","Did you talk to Ava this morning?","Did you talk to Ava this morning? ","1"
"1061","id9b42b4c9072cd8","1","If so what was it?","Is so what was it? ","1"
"1062","id9b42b4c9072cd8","1","Should systems manage the migration?","Should systems manage the migration? ","1"
"1063","id9b42b4c9072cd8","1","In a couple of weeks.","In a couple of weeks. ","1"
"1064","id9b42b4c9072cd8","1","Suggest you get facts before judging anyone.","Suggest you get facts before judging anyone. ","1"
"1065","id9b42b4c9072cd8","1","If we don't get it, could be trouble.","If we don't get it, could be trouble. ","1"
"1081","id9b42b4c9072cd8","3","Do we have New York sorted out?","Do you have New York sorted out? ","1"
"1082","id9b42b4c9072cd8","3","I have an AM doctor's appointment.","I have an AM doctor's appointment. ","1"
"1083","id9b42b4c9072cd8","3","I will resend to you.","I will resend to you. ","1"
"1084","id9b42b4c9072cd8","3","Through this account cash flows to corporate.","Through this account cash flows to corporate. ","1"
"1085","id9b42b4c9072cd8","3","We will have some good detail by January 7.","We will have some good detail by January 7. ","1"
"1086","id9b42b4c9072cd8","3","I'm on my way back there to do so.","I'm on my way back there to do so. ","1"
"1087","id9b42b4c9072cd8","3","We just pulled schedules from the web.","We just pulled schedules from the web. ","1"
"1088","id9b42b4c9072cd8","3","Hope your trip to Florida was good.","Hope your trip on Florida was good. ","1"
"1089","id9b42b4c9072cd8","3","The rest is a byproduct of slapshot.","The rest is a byproduct of slapshot. ","1"
"1090","id9b42b4c9072cd8","3","We are on a plane coming back.","We are on a plane coming back. ","1"
"1091","id9b42b4c9072cd8","3","Can we have them until we move?","Can we have them until we move ? ","1"
"1092","id9b42b4c9072cd8","3","Maybe you can leave early.","Maybe you can leave early. ","1"
"1093","id9b42b4c9072cd8","3","Thursday works better for me.","Thursday works better for me. ","1"
"1094","id9b42b4c9072cd8","3","How can we get these answers?","How can we get these answers? ","1"
"1095","id9b42b4c9072cd8","3","I won't be home until 6.","I won't be home until 6. ","1"
"1111","id9b42b4c9072cd8","4","I don't know that I will be back Monday.","I don't know that i will be back Monday. ","1"
"1112","id9b42b4c9072cd8","4","If so he probably will have to pay back.","If so he probably will have to pay back. ","1"
"1113","id9b42b4c9072cd8","4","Meeting with Alaska Governor Tony Knowles on November 30th.","Meeting with Alaska Governor Tony Knowles on November 30th. ","1"
"1114","id9b42b4c9072cd8","4","FYI I saw Ken Caminiti at Animal Kingdom yesterday!","FYI I saw Ken Caminti at Animal Kingdom yesterday!","1"
"1115","id9b42b4c9072cd8","4","Who should I contact regarding severance?","Who should i contact regarding severance? ","1"
"1116","id9b42b4c9072cd8","4","We're planning to go to West Virginia for Christmas.","We're planing to go to West Virginia for Christmas. ","1"
"1117","id9b42b4c9072cd8","4","The SoCal meeting was very beneficial.","The SoCal meeting was very beneficial. ","1"
"1118","id9b42b4c9072cd8","4","You are welcome in Palacios this weekend, of course.","You are welcome in Palacios this weekend, of course. ","1"
"1119","id9b42b4c9072cd8","4","Coal switching to NG and power guys stimulating demand.","Coal switching to NG and power guys stimulating demand. ","1"
"1120","id9b42b4c9072cd8","4","If not, I can try information in Omaha.","If not, i can try information in Omaha. ","1"
"1121","id9b42b4c9072cd8","4","Issue on post bankruptcy price risk issue remains.","Issue on post bankruptcy price risk issue remains. ","1"
"1122","id9b42b4c9072cd8","4","We are still in Palacios, having a quiet AM.","We are still in Palacios, having a quit AM. ","1"
"1123","id9b42b4c9072cd8","4","Danny I recommended on Monday we cancel it.","Danny i recommended on Monday we cancel it. ","1"
